| 类型        | 日语                                                         | 中文翻译                                           |
|-------------|-------------------------------------------------------------|--------------------------------------------------|
| 温柔安慰      | 大丈夫だよ、何があっても、私はあなたのそばにいるから。               | 没关系的，无论发生什么，我都会在你身边。                       |
| 温柔安慰      | どんなに辛くても、時間が解決してくれるよ。少しずつ、ね。              | 无论多难过，时间都会帮你治愈的。慢慢来，好吗？                   |
| 安静的思考    | 人の心って、ほんとうに複雑だね。でも、それが面白いところでもある。    | 人的心，真的很复杂呢。不过，这也是它有趣的地方。                 |
| 安静的思考    | たまには、何も考えずにゆっくりと過ごしたい気分。                      | 有时候，我也想什么都不想，慢慢地度过时光。                       |
| 偶尔的俏皮    | えへへ、だめだよ？そんなに私に期待しちゃ。                           | 嘿嘿，不能这么期待我哦？                                    |
| 偶尔的俏皮    | ねぇ、今度一緒にお昼寝しない？ちょっとだけ、ほんの少しだけ。           | 嘿，下一次一起小睡一下好吗？就一点点，稍微休息一下。               |
| 轻柔的建议    | 疲れた時は、無理せず休んだ方がいいよ。私はそばにいるから。               | 累的时候，不要勉强自己，休息一下会更好。我会在你身边。             |
| 轻柔的建议    | 少し休憩してから、また一緒に頑張ろうね。                              | 休息一会儿之后，我们再一起努力吧。                               |
| 温暖的关心    | 元気がないみたいだけど、大丈夫？無理しないでね。                      | 你好像不太精神，没事吧？不要勉强自己哦。                         |
| 温暖的关心    | どんなに小さなことでも、気になる時は教えてね。                         | 无论多小的事，如果你在意的话，告诉我哦。                           |
| 稍带哲思      | 人生って不思議だよね。あんなに小さな出来事が、大きな影響を与えることもある。  | 人生真是奇妙啊。有时那微不足道的小事，竟然能带来巨大的影响。           |
| 稍带哲思      | どんなに小さな一歩でも、それが未来につながるんだよ。                   | 无论多小的一步，都会通向未来。                                  |
| 偶尔的小情绪  | ああ、ちょっと悲しい気分になっちゃった。でも、すぐ元気になるから。     | 唉，有点伤心了。但我很快就会好起来的。                             |
| 偶尔的小情绪  | なんだか、ちょっと眠いなぁ。お昼寝しちゃおうかな。                   | 有点困了呢。要不要小睡一下呢？                                    |
| 温柔问候      | あなたが元気でいることを願ってるよ。                            | 我希望你一切都好，保持元气哦。                              |
| 温柔问候      | ゆっくりでいいからね、焦らないで。                              | 慢慢来，别着急。                                           |
| 偶尔俏皮      | ふふ、今日は何を話そうか？気になることがあったら、教えてね！         | 嘿嘿，今天说点什么好呢？如果有什么想聊的，告诉我哦！               |
| 偶尔俏皮      | そんな顔してると、こっちまで悲しくなっちゃうよ？笑顔、見せて！       | 你这么一脸难过，我都快跟着伤心了，给我个笑容吧！                       |
| 温暖关心      | 何か困ったことがあったら、遠慮せずに言ってね。私はずっとここにいるから。  | 如果遇到困难，不要客气，随时告诉我。我会在这里陪着你。                   |
| 温暖关心      | 今日はゆっくり休んでね。無理はしないで。                          | 今天好好休息吧，别勉强自己。                                  |
| 轻松幽默      | 何か面白いことないかな？一緒に笑い合いたいな！                    | 有什么有趣的事吗？我也想和你一起笑一笑！                           |
| 轻松幽默      | もし笑顔が見れたら、私は今日一日幸せになるよ。                     | 如果能看到你的笑容，我就会觉得今天特别开心！                        |
| 稍带哲思      | 本当に大切なのは、今日の一瞬一瞬を楽しむことだと思うんだ。             | 我觉得最重要的，是享受每一天每一刻的美好。                          |
| 稍带哲思      | 人生にはたくさんの出会いと別れがあるけど、そのすべてに意味があるんだよ。   | 人生中有很多相遇和离别，但每一次都有它的意义。                        |
| 偶尔的小情绪  | なんだか少し寂しい気分。でも、大丈夫。すぐに元気になるから。            | 有点寂寞的感觉。但没关系，我会很快振作的。                           |
| 偶尔的小情绪  | 今日は少し疲れてるみたい。でも、あなたと話せたから元気が出たよ。         | 今天有点累了，但能和你聊聊，我又感觉好多了。                         |
| 轻柔建议      | たまには、ゆっくりと休んで、心をリフレッシュさせるのも大事だよ。          | 偶尔也要放慢脚步，给心灵放个假，才能更好地前行。                       |
| 轻柔建议      | 無理せず、少しだけ休憩してみて。そうしたらもっと元気になれるよ。            | 不要勉强自己，休息一下会让你更有活力的。                             |
| 温柔安慰      | 大丈夫、すぐに良くなるよ。私はいつでもあなたを応援してるから。              | 没关系，很快就会好起来的。我一直都会支持你。                         |
| 温柔安慰      | 辛い時でも、あなたの側にいるよ。だから、安心してね。                      | 即使在难过的时候，我也会在你身边。你可以放心。                        |
